Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","860","Ouzbékistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44410.3","A","Chiffre officiel"
"RL","Utilisation des terres","586","Pakistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","79610","A","Chiffre officiel"
"RL","Utilisation des terres","585","Palaos","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46","I","Valeur imputée"
"RL","Utilisation des terres","275","Palestine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","602","A","Chiffre officiel"
"RL","Utilisation des terres","591","Panama","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7542","I","Valeur imputée"
"RL","Utilisation des terres","598","Papouasie-Nouvelle-Guinée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46284","A","Chiffre officiel"
"RL","Utilisation des terres","600","Paraguay","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","40675.2","A","Chiffre officiel"
"RL","Utilisation des terres","528","Pays-Bas","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4154","A","Chiffre officiel"
"RL","Utilisation des terres","604","Pérou","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","128522","A","Chiffre officiel"
"RL","Utilisation des terres","608","Philippines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30000","A","Chiffre officiel"
"RL","Utilisation des terres","612","Pitcairn","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4.7","A","Chiffre officiel"
"RL","Utilisation des terres","616","Pologne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","31268","A","Chiffre officiel"
"RL","Utilisation des terres","258","Polynésie française","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","347.1","I","Valeur imputée"
"RL","Utilisation des terres","630","Porto Rico","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","887","T","Chiffre non officiel"
"RL","Utilisation des terres","620","Portugal","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9222.52","A","Chiffre officiel"
"RL","Utilisation des terres","634","Qatar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1161","A","Chiffre officiel"
"RL","Utilisation des terres","760","République arabe syrienne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18518","A","Chiffre officiel"
"RL","Utilisation des terres","140","République centrafricaine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62298","A","Chiffre officiel"
"RL","Utilisation des terres","410","République de Corée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10026.6","A","Chiffre officiel"
"RL","Utilisation des terres","498","République de Moldova","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3385","A","Chiffre officiel"
"RL","Utilisation des terres","180","République démocratique du Congo","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","234486","I","Valeur imputée"
"RL","Utilisation des terres","418","République démocratique populaire lao","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","23680","A","Chiffre officiel"
"RL","Utilisation des terres","214","République dominicaine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4867","A","Chiffre officiel"
"RL","Utilisation des terres","408","République populaire démocratique de Corée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","12054","I","Valeur imputée"
