Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","570","Niue","5110","Area","6600","Country area","2013","2013","1000 ha","26","A","Official figure"
"RL","Land Use","574","Norfolk Island","5110","Area","6600","Country area","2013","2013","1000 ha","4","A","Official figure"
"RL","Land Use","807","North Macedonia","5110","Area","6600","Country area","2013","2013","1000 ha","2571","A","Official figure"
"RL","Land Use","580","Northern Mariana Islands","5110","Area","6600","Country area","2013","2013","1000 ha","46","A","Official figure"
"RL","Land Use","578","Norway","5110","Area","6600","Country area","2013","2013","1000 ha","62521.711","A","Official figure"
"RL","Land Use","512","Oman","5110","Area","6600","Country area","2013","2013","1000 ha","30950","A","Official figure"
"RL","Land Use","586","Pakistan","5110","Area","6600","Country area","2013","2013","1000 ha","79610","A","Official figure"
"RL","Land Use","585","Palau","5110","Area","6600","Country area","2013","2013","1000 ha","46","I","Imputed value"
"RL","Land Use","275","Palestine","5110","Area","6600","Country area","2013","2013","1000 ha","602","A","Official figure"
"RL","Land Use","591","Panama","5110","Area","6600","Country area","2013","2013","1000 ha","7542","I","Imputed value"
"RL","Land Use","598","Papua New Guinea","5110","Area","6600","Country area","2013","2013","1000 ha","46284","A","Official figure"
"RL","Land Use","600","Paraguay","5110","Area","6600","Country area","2013","2013","1000 ha","40675.2","A","Official figure"
"RL","Land Use","604","Peru","5110","Area","6600","Country area","2013","2013","1000 ha","128522","A","Official figure"
"RL","Land Use","608","Philippines","5110","Area","6600","Country area","2013","2013","1000 ha","30000","A","Official figure"
"RL","Land Use","612","Pitcairn","5110","Area","6600","Country area","2013","2013","1000 ha","4.7","A","Official figure"
"RL","Land Use","616","Poland","5110","Area","6600","Country area","2013","2013","1000 ha","31268","A","Official figure"
"RL","Land Use","620","Portugal","5110","Area","6600","Country area","2013","2013","1000 ha","9222.52","A","Official figure"
"RL","Land Use","630","Puerto Rico","5110","Area","6600","Country area","2013","2013","1000 ha","887","T","Unofficial figure"
"RL","Land Use","634","Qatar","5110","Area","6600","Country area","2013","2013","1000 ha","1161","A","Official figure"
"RL","Land Use","410","Republic of Korea","5110","Area","6600","Country area","2013","2013","1000 ha","10026.6","A","Official figure"
"RL","Land Use","498","Republic of Moldova","5110","Area","6600","Country area","2013","2013","1000 ha","3385","A","Official figure"
"RL","Land Use","638","Réunion","5110","Area","6600","Country area","2013","2013","1000 ha","252","A","Official figure"
"RL","Land Use","642","Romania","5110","Area","6600","Country area","2013","2013","1000 ha","23840","A","Official figure"
"RL","Land Use","643","Russian Federation","5110","Area","6600","Country area","2013","2013","1000 ha","1709825","A","Official figure"
"RL","Land Use","646","Rwanda","5110","Area","6600","Country area","2013","2013","1000 ha","2634","A","Official figure"
"RL","Land Use","652","Saint Barthélemy","5110","Area","6600","Country area","2013","2013","1000 ha","2","A","Official figure"
"RL","Land Use","654","Saint Helena, Ascension and Tristan da Cunha","5110","Area","6600","Country area","2013","2013","1000 ha","39","I","Imputed value"
"RL","Land Use","659","Saint Kitts and Nevis","5110","Area","6600","Country area","2013","2013","1000 ha","26","A","Official figure"
"RL","Land Use","662","Saint Lucia","5110","Area","6600","Country area","2013","2013","1000 ha","62","A","Official figure"
"RL","Land Use","666","Saint Pierre and Miquelon","5110","Area","6600","Country area","2013","2013","1000 ha","24","A","Official figure"
"RL","Land Use","670","Saint Vincent and the Grenadines","5110","Area","6600","Country area","2013","2013","1000 ha","39","A","Official figure"
"RL","Land Use","663","Saint-Martin (French part)","5110","Area","6600","Country area","2013","2013","1000 ha","5","A","Official figure"
"RL","Land Use","882","Samoa","5110","Area","6600","Country area","2013","2013","1000 ha","284","I","Imputed value"
"RL","Land Use","674","San Marino","5110","Area","6600","Country area","2013","2013","1000 ha","6","A","Official figure"
"RL","Land Use","678","Sao Tome and Principe","5110","Area","6600","Country area","2013","2013","1000 ha","96","I","Imputed value"
"RL","Land Use","682","Saudi Arabia","5110","Area","6600","Country area","2013","2013","1000 ha","214969","A","Official figure"
"RL","Land Use","686","Senegal","5110","Area","6600","Country area","2013","2013","1000 ha","19671","A","Official figure"
"RL","Land Use","688","Serbia","5110","Area","6600","Country area","2013","2013","1000 ha","8836","A","Official figure"
"RL","Land Use","690","Seychelles","5110","Area","6600","Country area","2013","2013","1000 ha","46","A","Official figure"
"RL","Land Use","694","Sierra Leone","5110","Area","6600","Country area","2013","2013","1000 ha","7230","T","Unofficial figure"
"RL","Land Use","702","Singapore","5110","Area","6600","Country area","2013","2013","1000 ha","71.7","A","Official figure"
"RL","Land Use","534","Sint Maarten (Dutch part)","5110","Area","6600","Country area","2013","2013","1000 ha","3.4","A","Official figure"
"RL","Land Use","703","Slovakia","5110","Area","6600","Country area","2013","2013","1000 ha","4903.6","A","Official figure"
"RL","Land Use","705","Slovenia","5110","Area","6600","Country area","2013","2013","1000 ha","2067.5","A","Official figure"
"RL","Land Use","090","Solomon Islands","5110","Area","6600","Country area","2013","2013","1000 ha","2890","I","Imputed value"
"RL","Land Use","706","Somalia","5110","Area","6600","Country area","2013","2013","1000 ha","63766","A","Official figure"
